dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,dense_only,ko,longitudinal,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,ko,longitudinal,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,ko,multi_omics,facet_present_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,dense_only,ko,multi_omics,facet_conjunctive_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,dense_only,ko,multi_organism,facet_present_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,dense_only,ko,multi_organism,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,dense_only,ko,negation,facet_present_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,dense_only,ko,negation,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,dense_only,ko,negation,exclusion_clean_at_k,0.8,0.8,0.0,2,2,2,0,0
hard_queries,dense_only,ko,paired_multi_tissue,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,dense_only,ko,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,rrf,en,ALL,facet_present_macro,0.7670068027210885,1.0,0.2930504548959457,49,49,49,0,0
hard_queries,rrf,en,ALL,facet_conjunctive_macro,0.7363945578231293,0.75,0.31196243504212523,49,49,49,0,0
hard_queries,rrf,en,ALL,exclusion_clean_at_k,0.8272727272727273,0.9,0.19582417480489106,11,49,49,0,0
hard_queries,rrf,en,abbrev_ambiguous,facet_present_macro,0.611111111111111,0.6666666666666666,0.3557291243018249,6,6,6,0,0
hard_queries,rrf,en,abbrev_ambiguous,facet_conjunctive_macro,0.611111111111111,0.6666666666666666,0.3557291243018249,6,6,6,0,0
hard_queries,rrf,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,rrf,en,abbrev_standard,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
